TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-106-TC-001,Enhancement,Positive,Verify dropdown menu displays with correct options,Verify that dropdown selection displays Last Month and Custom options,1. Navigate to Reporting Dashboard 2. Locate dropdown menu 3. Click dropdown to expand,Dropdown should display two options: Last Month and Custom,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-002,Enhancement,Positive,Verify Last Month is default selection,Verify that Last Month is the default selected value in dropdown,1. Open Reporting Dashboard 2. Check dropdown default value,Dropdown should default to Last Month without user interaction,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-003,Enhancement,Positive,Verify date range displays after selection,Verify that date range becomes visible and remains on screen after selection,1. Open Reporting Dashboard 2. Select Last Month 3. Observe date range display 4. Verify it persists,Date range should be visible on screen and not disappear after selection,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-004,Enhancement,Positive,Verify custom date range selection up to 3 months,Verify that custom option allows date range selection up to 3 months from current date,1. Click dropdown 2. Select Custom 3. Enter start date 4. Enter end date within 90 days 5. Verify,Custom date range should accept dates up to 90 days apart,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-005,Enhancement,Positive,Verify date range visibility persists on page,Verify that selected date range remains visible when navigating or refreshing page,1. Select date range 2. Navigate to different section 3. Return to dashboard 4. Refresh page,Date range should persist and remain visible after navigation and refresh,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-006,Enhancement,Positive,Verify tile-based report UI displays all LOBs,Verify that the tile-based UI shows all available Lines of Business LOBs,1. Click Report button 2. Observe tile-based UI layout 3. Count LOB tiles,All available LOBs should display as tiles in the report interface,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-007,Enhancement,Positive,Verify LOB tile navigation and selection,Verify that users can click on LOB tiles to navigate to specific reports,1. Navigate to tile-based report UI 2. Click on a specific LOB tile 3. Verify navigation,User should successfully navigate to selected LOB report page,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-008,Enhancement,Positive,Verify report generation from tile selection,Verify that clicking on LOB tile generates report with selected date range,1. Select date range 2. Click LOB tile 3. Verify report generates with correct dates,Report should generate successfully with dates from selected range,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-009,Enhancement,Positive,Verify custom date range boundary validation 90 days,Verify that custom date range correctly handles 90-day boundary,1. Select Custom 2. Set start date to Jan 1 3. Set end date to Apr 1 91 days 4. Attempt to apply,System should either accept exactly 90 days or show validation for boundary,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-010,Enhancement,Positive,Verify dropdown selection persists after page reload,Verify that selected dropdown option persists after page reload,1. Select dropdown option 2. Refresh page 3. Check dropdown value,Selected dropdown value should be maintained after page reload,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-011,Enhancement,Negative,Verify date range does not disappear on dropdown change,Verify that date range remains visible when switching between dropdown options,1. Select Last Month 2. Switch to Custom 3. Switch back to Last Month 4. Check visibility,Date range should remain visible and not disappear during option switches,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-012,Enhancement,Negative,Verify invalid date range rejection,Verify that invalid date ranges end date before start date are rejected,1. Select Custom 2. Enter end date before start date 3. Attempt to apply,System should reject and display error message for invalid range,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-013,Enhancement,Negative,Verify custom date range beyond 3 months rejection,Verify that date ranges exceeding 3 months 90 days are rejected,1. Select Custom 2. Enter date range of 120 days 3. Attempt to apply,System should reject range and show error message,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-014,Enhancement,Negative,Verify play button is replaced by tile-based UI,Verify that play button no longer appears and tile-based UI is implemented,1. Open Reporting Dashboard 2. Look for play button 3. Check for tile-based UI,Play button should not be visible; tile-based UI should be displayed instead,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-015,Enhancement,Negative,Verify empty date selection error handling,Verify that selecting report without dates shows appropriate error,1. Leave dates empty 2. Click Report button 3. Attempt to select LOB tile,System should show error message prompting date selection,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,High
EZ-106-TC-016,Enhancement,Negative,Verify reversed date range handling,Verify that system handles when user enters end date before start date,1. Select Custom 2. Enter end date 3. Enter start date later date 4. Verify behavior,System should either auto-swap dates or display validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-017,Enhancement,Negative,Verify LOB tile selection validation,Verify that selecting LOB tile validates properly before generating report,1. Click LOB tile without selecting dates 2. Observe validation,System should validate date selection before processing LOB tile click,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-018,Enhancement,Negative,Verify report generation without date selection,Verify that report cannot be generated if no date range is selected,1. Open Reporting Dashboard 2. Click LOB tile without selecting dates,Report should not generate and error message should appear,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-019,Enhancement,Data Validation,Validate date format MM/DD/YYYY,Verify that date fields accept and validate MM/DD/YYYY format,1. Enter date in MM/DD/YYYY format 2. Verify acceptance,Date should be accepted in MM/DD/YYYY format,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-020,Enhancement,Data Validation,Validate custom date start date field,Verify that start date field validates correctly in custom range,1. Leave start date empty 2. Enter only end date 3. Attempt to apply,System should require start date and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-021,Enhancement,Data Validation,Validate custom date end date field,Verify that end date field validates correctly in custom range,1. Enter only start date 2. Leave end date empty 3. Attempt to apply,System should require end date and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-022,Enhancement,Data Validation,Validate date range boundary conditions,Verify that boundary dates first/last day of month are handled correctly,1. Select first day of month as start date 2. Select last day of month as end date 3. Apply,Boundary dates should be accepted and processed correctly,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-023,Enhancement,Data Validation,Validate special characters in date field,Verify that special characters in date input are rejected,1. Enter special characters in date field !@#$% 2. Attempt to apply,System should reject and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-024,Enhancement,Data Validation,Validate leap year dates,Verify that leap year dates Feb 29 are handled correctly,1. Select Feb 29 in leap year 2. Apply date range,Leap year dates should be accepted and processed correctly,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-025,Enhancement,Data Validation,Validate same start and end dates,Verify that system handles when start and end dates are the same,1. Select same date for start and end 2. Apply range,System should accept single-day range or show appropriate message,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-026,Enhancement,Data Validation,Validate date picker functionality,Verify that calendar date picker works correctly for date selection,1. Click on date field 2. Use calendar picker to select date 3. Verify selection,Calendar picker should allow intuitive date selection,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-027,Enhancement,Data Validation,Validate timezone handling in dates,Verify that dates are handled correctly in different timezones,1. Change system timezone 2. Select date range 3. Verify dates remain consistent,Dates should remain consistent regardless of timezone,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-028,Enhancement,Data Validation,Validate date range persistence in session,Verify that selected date range persists throughout user session,1. Select date range 2. Navigate between pages 3. Check if date range remains,Date range should be maintained throughout the session,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium